CityStateID,Zip,Population,Latitude,Longitude
9663,02534,1369,41.66626,-70.61628
9677,02535,2244,41.34896,-70.74629
9708,02536,21328,41.59706,-70.56677
9713,02537,6383,41.72882,-70.44317
9717,02538,4074,41.77872,-70.65077
9721,02539,5278,41.37994,-70.53227
9727,02540,8104,41.57128,-70.62807
9657,02542,882,41.70194,-70.54824
10059,02543,747,41.48731,-70.74525
9845,02553,30,41.71297,-70.62011
9847,02554,14212,41.28555,-70.08043
9873,02556,2868,41.63903,-70.62521
9888,02557,1250,41.44218,-70.56648
9890,02558,1734,41.74453,-70.65377
9907,02559,2802,41.69237,-70.61374
9930,02561,670,41.76782,-70.53281
9931,02562,3402,41.78753,-70.52746
9935,02563,10436,41.71995,-70.4818
9947,02564,255,41.26552,-69.98608
9999,02568,9412,41.44341,-70.61534
10006,02571,11258,41.76184,-70.70138
10032,02575,2718,41.39651,-70.65496
10034,02576,4168,41.77807,-70.76338
9847,02584,16,41.25753,-70.00522
9781,02601,16071,41.66,-70.29327
9626,02630,2371,41.69674,-70.3052
9648,02631,10061,41.74673,-70.06894
9664,02632,11685,41.66074,-70.34826
9668,02633,4512,41.68949,-69.97397
9683,02635,3577,41.62348,-70.44051
9684,02637,227,41.70493,-70.27245
9691,02638,3253,41.73225,-70.19459
9692,02639,3808,41.66639,-70.13535
9707,02641,316,41.75221,-70.15176
9719,02642,5811,41.83976,-69.97711
9711,02643,0,41.75534,-69.94002
9733,02644,3700,41.68361,-70.51202
9759,02645,11288,41.70352,-70.06215
9760,02646,1846,41.67103,-70.07144
9782,02647,209,41.63127,-70.30909
9818,02648,7968,41.67237,-70.41545
9819,02649,15384,41.61778,-70.49077
9868,02650,1032,41.7036,-69.96589
9878,02652,845,42.0428,-70.09276
9892,02653,6443,41.76901,-69.9737
9893,02655,4024,41.62972,-70.39263
9910,02657,3703,42.06139,-70.19813
9953,02659,1137,41.68258,-70.02234
9956,02660,6381,41.70828,-70.15517
9965,02663,443,41.90576,-69.989
9967,02664,9949,41.67486,-70.19446
9993,02666,863,41.98817,-70.04603
10014,02667,3961,41.92937,-70.02074
10018,02668,2820,41.70713,-70.36246
10023,02670,1087,41.66,-70.17098
10024,02671,818,41.66938,-70.11087
10026,02672,0,41.6357,-70.31878
10036,02673,8594,41.6557,-70.24447
10064,02675,7297,41.70401,-70.22883
9616,02702,4488,41.78452,-71.06112
9618,02703,46713,41.93108,-71.29499
9686,02713,23,41.42818,-70.89102
9694,02715,3757,41.81681,-71.15064
9709,02717,4797,41.75405,-70.98312
9714,02718,6878,41.86902,-71.01128
9725,02719,15903,41.63945,-70.87322
9726,02720,30940,41.73095,-71.10932
9726,02721,26521,41.67451,-71.14869
9726,02723,17067,41.69237,-71.1309
9726,02724,18505,41.68372,-71.17949
9948,02725,2257,41.71253,-71.18426
9948,02726,16041,41.76073,-71.14444
9815,02738,5310,41.7092,-70.76362
9821,02739,6634,41.6687,-70.81705
9851,02740,46281,41.63802,-70.93839
9603,02743,10519,41.71323,-70.90054
9851,02744,12716,41.60789,-70.91286
9851,02745,24519,41.70284,-70.94695
9851,02746,17531,41.66474,-70.945
9870,02747,22445,41.6577,-71.01202
9954,02748,11281,41.56096,-70.97963
9865,02760,29177,41.97004,-71.33586
9904,02762,9943,42.01409,-71.33642
9619,02763,1807,41.96666,-71.30743
9871,02764,4436,41.8562,-71.16022
9885,02766,19240,41.96402,-71.18418
9913,02767,15599,41.93939,-71.05191
9915,02769,13022,41.84394,-71.24559
9919,02770,5809,41.75875,-70.84048
9939,02771,15694,41.83787,-71.31736
9985,02777,17359,41.75699,-71.21208
9633,02779,6829,41.83492,-71.07543
9986,02780,53461,41.90743,-71.11939
10042,02790,16901,41.59967,-71.08266
10043,02791,290,41.52262,-71.08266
22253,02802,677,41.95221,-71.4559
22254,02804,2609,41.43546,-71.77196
22255,02806,17126,41.7443,-71.31453
22256,02807,777,41.17762,-71.57854
22257,02808,2657,41.40606,-71.74802
22258,02809,22220,41.68266,-71.26938
22259,02812,1479,41.47625,-71.66094
22261,02813,8051,41.3971,-71.67003
22262,02814,7587,41.89959,-71.69888
22263,02815,161,41.77723,-71.66177
22264,02816,33298,41.69035,-71.61954
22313,02817,6647,41.6291,-71.66711
22267,02818,19786,41.64214,-71.49307
22269,02822,6539,41.56736,-71.63348
22270,02823,59,41.73328,-71.54479
22271,02824,448,41.99934,-71.56322
22272,02825,6107,41.78212,-71.72596
22273,02826,831,41.98248,-71.64539
22274,02827,2469,41.69792,-71.73847
